technique_id,D_raw,rule_count,D_norm,stealth_S
T1003.002,24.55103075413926,23,0.13205652176197305,0.8896512928277662
T1003.004,11.952502772473483,10,0.06429082176996058,0.9413459728409274
T1003.001,69.37356106629717,67,0.3731505723079457,0.7592393041408027
T1003.006,8.306221558845902,7,0.04467799087663844,0.9581217485021779
T1211,3.8342580541790676,4,0.0206239317299275,0.9799942618409727
T1562.001,89.90872113511145,94,0.48360629368558145,0.7171153444845895
T1003.003,18.80784952380038,20,0.1011647622785415,0.9121020944294091
T1203,7.619833796422957,8,0.04098600818991253,0.9613828387981798
T1068,16.97251827696538,10,0.09129277510353327,0.9196560637032101
T1212,4.117243682542501,3,0.022146071397485076,0.9785651100160687
T1210,6.849943380782342,8,0.036844876542711194,0.9650811171396693
T1499.004,0.9241962407465937,1,0.004971120854382437,0.9950656627892492
T1070.004,6.531234781603816,11,0.03513058806803886,0.9666247752968428
T1072,2.6985129987253593,4,0.014514919724136698,0.985794128289537
T1489,9.27803941584059,9,0.04990526166889453,0.9535616132138085
T1218,93.93183296591774,127,0.5052460431672259,0.7097451860367774
T1218.007,6.805192999941812,9,0.036604170573967795,0.965297413120856
T1219.002,23.457085826360697,37,0.1261723467304529,0.8937951656855553
T1485,4.069686089042088,6,0.021890265828915394,0.9788048482044842
T1110,7.085757674022427,7,0.03811328827087431,0.9639437610195783
T1588,2.468801668457435,1,0.0132793349705563,0.9869798238771211
T1059.003,18.31253680836854,22,0.0985005452426283,0.9141218123957208
T1204.002,23.027867749936313,21,0.12386364340888614,0.8954375777566429
T1059.001,185.91305015886738,177,1.0,0.5906161091496412
T1059.005,20.261272665149246,18,0.10898251977381619,0.9062543773027167
T1059.006,1.2296264847046452,2,0.00661398693450459,0.9934509621464374
T1059.007,17.160113776110272,16,0.09230182475865209,0.9188750611446567
T1197,16.484127424971756,14,0.08866578979197885,0.9216989968971862
T1649,3.864300791733669,4,0.02078552736578485,0.9798422388785029
T1543,6.53235273655852,9,0.03513660138960907,0.9666193474019275
T1567.002,5.17206879753498,10,0.027819826489400915,0.9732929527114228
T1090.003,4.850484088379355,3,0.026090067825978298,0.9748911630593317
T1071.004,5.022815231482226,5,0.027017012669041274,0.9740337256149704
T1590.002,0.23104906018664842,1,0.0012427802135956093,0.9987595320703424
T1574.001,60.85319338491027,75,0.32732071972844123,0.7793245727269503
T1200,0.6931471805599453,3,0.003728340640786828,0.9962923899223892
T1562.004,14.81992850022527,17,0.07971429917136677,0.9287668617933651
T1562.002,22.042056379413594,24,0.11856110348670039,0.8992456971748481
T1505.004,3.5522350227074053,5,0.019106969734894518,0.9814248429328404
T1069.002,24.273498512424162,14,0.13056371508983283,0.890696907618081
T1087.002,28.282600094387586,20,0.15212810542465627,0.8759553046995631
T1482,25.462268068154916,17,0.1369579383824684,0.8862449479727109
